FIPS,region,2013RuralUrbanCode,HighSchoolOnly1970,HighSchoolOnly1980,HighSchoolOnly1990,HighSchoolOnly2000,HighSchoolOnly2010-2014
12000,Florida,,0.307,0.35,0.301,0.287,0.297
12001,"Alachua, FL",2,0.245,0.263,0.217,0.203,0.217
12003,"Baker, FL",1,0.265,0.353,0.374,0.414,0.455
12005,"Bay, FL",3,0.315,0.357,0.306,0.306,0.309
12007,"Bradford, FL",6,0.257,0.337,0.368,0.401,0.362
12009,"Brevard, FL",2,0.385,0.381,0.303,0.289,0.296
12011,"Broward, FL",1,0.333,0.375,0.317,0.284,0.278
12013,"Calhoun, FL",6,0.218,0.302,0.303,0.386,0.388
12015,"Charlotte, FL",3,0.33,0.384,0.38,0.357,0.343
12017,"Citrus, FL",3,0.271,0.366,0.367,0.38,0.383
12019,"Clay, FL",1,0.337,0.386,0.321,0.317,0.297
12021,"Collier, FL",2,0.303,0.355,0.301,0.262,0.27
12023,"Columbia, FL",4,0.276,0.344,0.335,0.349,0.36
12027,"DeSoto, FL",6,0.246,0.331,0.308,0.353,0.393
12029,"Dixie, FL",6,0.249,0.354,0.33,0.394,0.411
12031,"Duval, FL",1,0.323,0.357,0.309,0.291,0.289
12033,"Escambia, FL",2,0.315,0.364,0.285,0.283,0.289
12035,"Flagler, FL",2,0.294,0.38,0.331,0.319,0.335
12037,"Franklin, FL",6,0.243,0.271,0.306,0.364,0.359
12039,"Gadsden, FL",2,0.199,0.294,0.304,0.359,0.346
12041,"Gilchrist, FL",2,0.234,0.361,0.336,0.361,0.378
12043,"Glades, FL",6,0.231,0.359,0.335,0.368,0.441
12045,"Gulf, FL",3,0.302,0.425,0.369,0.371,0.355
12047,"Hamilton, FL",6,0.227,0.361,0.377,0.351,0.389
12049,"Hardee, FL",6,0.243,0.297,0.316,0.315,0.372
12051,"Hendry, FL",4,0.225,0.332,0.312,0.291,0.348
12053,"Hernando, FL",1,0.266,0.378,0.373,0.377,0.375
12055,"Highlands, FL",3,0.264,0.342,0.353,0.346,0.357
12057,"Hillsborough, FL",1,0.305,0.35,0.288,0.267,0.278
12059,"Holmes, FL",6,0.216,0.306,0.338,0.378,0.365
12061,"Indian River, FL",3,0.32,0.338,0.306,0.291,0.294
12063,"Jackson, FL",6,0.237,0.321,0.308,0.327,0.356
12065,"Jefferson, FL",2,0.207,0.301,0.313,0.322,0.311
12067,"Lafayette, FL",9,0.233,0.336,0.374,0.401,0.346
12069,"Lake, FL",1,0.283,0.349,0.352,0.343,0.336
12071,"Lee, FL",2,0.321,0.376,0.338,0.325,0.32
12073,"Leon, FL",2,0.263,0.275,0.216,0.189,0.196
12075,"Levy, FL",6,0.237,0.349,0.35,0.382,0.405
12077,"Liberty, FL",8,0.219,0.335,0.328,0.404,0.421
12079,"Madison, FL",6,0.181,0.259,0.293,0.342,0.381
12081,"Manatee, FL",2,0.306,0.381,0.347,0.319,0.31
12083,"Marion, FL",2,0.295,0.363,0.347,0.359,0.365
12085,"Martin, FL",2,0.319,0.365,0.32,0.283,0.264
12086,"Miami-Dade, FL",1,0.295,0.304,0.231,0.223,0.285
12087,"Monroe, FL",4,0.36,0.365,0.291,0.289,0.287
12089,"Nassau, FL",1,0.271,0.377,0.383,0.344,0.345
12091,"Okaloosa, FL",3,0.409,0.414,0.288,0.271,0.27
12093,"Okeechobee, FL",4,0.215,0.349,0.324,0.339,0.348
12095,"Orange, FL",1,0.321,0.363,0.292,0.258,0.265
12097,"Osceola, FL",1,0.299,0.378,0.364,0.339,0.343
12099,"Palm Beach, FL",1,0.306,0.355,0.301,0.269,0.262
12101,"Pasco, FL",1,0.284,0.369,0.359,0.368,0.34
12103,"Pinellas, FL",1,0.304,0.361,0.317,0.297,0.298
12105,"Polk, FL",2,0.271,0.344,0.33,0.337,0.362
12107,"Putnam, FL",4,0.267,0.347,0.355,0.373,0.392
12109,"St. Johns, FL",1,0.304,0.353,0.292,0.245,0.215
12111,"St. Lucie, FL",2,0.281,0.362,0.333,0.327,0.34
12113,"Santa Rosa, FL",2,0.34,0.389,0.288,0.292,0.282
12115,"Sarasota, FL",2,0.341,0.368,0.317,0.301,0.306
12117,"Seminole, FL",1,0.328,0.361,0.263,0.244,0.245
12119,"Sumter, FL",3,0.271,0.358,0.381,0.388,0.314
12121,"Suwannee, FL",6,0.229,0.362,0.376,0.388,0.414
12123,"Taylor, FL",6,0.25,0.34,0.362,0.409,0.377
12125,"Union, FL",6,0.247,0.328,0.36,0.389,0.374
12127,"Volusia, FL",2,0.331,0.366,0.324,0.323,0.334
12129,"Wakulla, FL",2,0.24,0.389,0.39,0.349,0.386
12131,"Walton, FL",3,0.25,0.304,0.311,0.323,0.282
12133,"Washington, FL",6,0.226,0.358,0.373,0.388,0.402