FIPS,region,2013RuralUrbanCode,LessThanHS1970,LessThanHS1980,LessThanHS1990,LessThanHS2000,LessThanHS2010-2014
12000,Florida,,0.474,0.333,0.256,0.201,0.135
12001,"Alachua, FL",2,0.402,0.245,0.173,0.119,0.082
12003,"Baker, FL",1,0.651,0.493,0.359,0.281,0.196
12005,"Bay, FL",3,0.49,0.342,0.253,0.19,0.124
12007,"Bradford, FL",6,0.635,0.464,0.35,0.258,0.239
12009,"Brevard, FL",2,0.293,0.246,0.177,0.137,0.095
12011,"Broward, FL",1,0.446,0.296,0.232,0.18,0.121
12013,"Calhoun, FL",6,0.693,0.53,0.441,0.309,0.267
12015,"Charlotte, FL",3,0.47,0.333,0.243,0.179,0.109
12017,"Citrus, FL",3,0.575,0.447,0.314,0.217,0.132
12019,"Clay, FL",1,0.465,0.263,0.188,0.136,0.1
12021,"Collier, FL",2,0.416,0.288,0.21,0.182,0.143
12023,"Columbia, FL",4,0.565,0.411,0.31,0.253,0.156
12027,"DeSoto, FL",6,0.641,0.494,0.455,0.365,0.294
12029,"Dixie, FL",6,0.657,0.506,0.423,0.341,0.209
12031,"Duval, FL",1,0.484,0.332,0.231,0.173,0.116
12033,"Escambia, FL",2,0.497,0.327,0.238,0.179,0.115
12035,"Flagler, FL",2,0.554,0.292,0.213,0.141,0.102
12037,"Franklin, FL",6,0.647,0.56,0.405,0.317,0.216
12039,"Gadsden, FL",2,0.694,0.529,0.401,0.293,0.23
12041,"Gilchrist, FL",2,0.684,0.435,0.37,0.276,0.193
12043,"Glades, FL",6,0.679,0.47,0.426,0.302,0.24
12045,"Gulf, FL",3,0.577,0.414,0.336,0.274,0.204
12047,"Hamilton, FL",6,0.677,0.506,0.416,0.371,0.238
12049,"Hardee, FL",6,0.646,0.551,0.452,0.42,0.347
12051,"Hendry, FL",4,0.636,0.495,0.434,0.458,0.343
12053,"Hernando, FL",1,0.592,0.401,0.295,0.215,0.134
12055,"Highlands, FL",3,0.564,0.428,0.318,0.255,0.184
12057,"Hillsborough, FL",1,0.507,0.342,0.244,0.192,0.129
12059,"Holmes, FL",6,0.715,0.563,0.429,0.348,0.243
12061,"Indian River, FL",3,0.465,0.334,0.235,0.184,0.128
12063,"Jackson, FL",6,0.637,0.489,0.384,0.309,0.212
12065,"Jefferson, FL",2,0.659,0.483,0.359,0.268,0.199
12067,"Lafayette, FL",9,0.673,0.461,0.418,0.318,0.244
12069,"Lake, FL",1,0.518,0.382,0.294,0.202,0.131
12071,"Lee, FL",2,0.459,0.326,0.231,0.177,0.131
12073,"Leon, FL",2,0.355,0.212,0.151,0.109,0.079
12075,"Levy, FL",6,0.656,0.462,0.372,0.261,0.192
12077,"Liberty, FL",8,0.697,0.523,0.433,0.344,0.25
12079,"Madison, FL",6,0.698,0.565,0.435,0.325,0.206
12081,"Manatee, FL",2,0.473,0.335,0.244,0.186,0.123
12083,"Marion, FL",2,0.528,0.405,0.304,0.218,0.147
12085,"Martin, FL",2,0.489,0.296,0.203,0.147,0.11
12086,"Miami-Dade, FL",1,0.481,0.36,0.35,0.321,0.205
12087,"Monroe, FL",4,0.44,0.277,0.203,0.151,0.096
12089,"Nassau, FL",1,0.615,0.419,0.288,0.19,0.105
12091,"Okaloosa, FL",3,0.329,0.226,0.162,0.12,0.09
12093,"Okeechobee, FL",4,0.671,0.494,0.409,0.349,0.313
12095,"Orange, FL",1,0.434,0.296,0.212,0.182,0.127
12097,"Osceola, FL",1,0.557,0.386,0.263,0.209,0.158
12099,"Palm Beach, FL",1,0.443,0.293,0.212,0.164,0.123
12101,"Pasco, FL",1,0.578,0.442,0.331,0.224,0.125
12103,"Pinellas, FL",1,0.47,0.317,0.219,0.16,0.106
12105,"Polk, FL",2,0.537,0.402,0.32,0.252,0.169
12107,"Putnam, FL",4,0.6,0.447,0.357,0.296,0.227
12109,"St. Johns, FL",1,0.52,0.34,0.201,0.128,0.062
12111,"St. Lucie, FL",2,0.532,0.373,0.283,0.223,0.144
12113,"Santa Rosa, FL",2,0.452,0.305,0.215,0.146,0.098
12115,"Sarasota, FL",2,0.361,0.266,0.187,0.129,0.078
12117,"Seminole, FL",1,0.456,0.238,0.154,0.113,0.078
12119,"Sumter, FL",3,0.638,0.487,0.357,0.227,0.113
12121,"Suwannee, FL",6,0.664,0.467,0.362,0.268,0.216
12123,"Taylor, FL",6,0.636,0.474,0.379,0.3,0.255
12125,"Union, FL",6,0.661,0.431,0.323,0.275,0.252
12127,"Volusia, FL",2,0.431,0.335,0.246,0.18,0.119
12129,"Wakulla, FL",2,0.685,0.433,0.284,0.216,0.125
12131,"Walton, FL",3,0.625,0.492,0.335,0.24,0.152
12133,"Washington, FL",6,0.679,0.49,0.391,0.288,0.196