FIPS,region,2013RuralUrbanCode,SomeCollege1970,SomeCollege1980,SomeCollege1990,SomeCollege2000,SomeCollege2010-2014
12000,Florida,,0.116,0.168,0.26,0.288,0.3
12001,"Alachua, FL",2,0.122,0.198,0.264,0.291,0.293
12003,"Baker, FL",1,0.048,0.097,0.21,0.223,0.241
12005,"Bay, FL",3,0.102,0.169,0.284,0.327,0.351
12007,"Bradford, FL",6,0.063,0.123,0.201,0.256,0.294
12009,"Brevard, FL",2,0.171,0.202,0.316,0.339,0.342
12011,"Broward, FL",1,0.124,0.178,0.264,0.291,0.3
12013,"Calhoun, FL",6,0.028,0.099,0.174,0.229,0.253
12015,"Charlotte, FL",3,0.113,0.156,0.243,0.289,0.339
12017,"Citrus, FL",3,0.093,0.116,0.215,0.271,0.318
12019,"Clay, FL",1,0.1,0.183,0.311,0.346,0.367
12021,"Collier, FL",2,0.126,0.172,0.266,0.276,0.265
12023,"Columbia, FL",4,0.076,0.152,0.245,0.289,0.343
12027,"DeSoto, FL",6,0.064,0.093,0.162,0.198,0.214
12029,"Dixie, FL",6,0.037,0.092,0.186,0.198,0.305
12031,"Duval, FL",1,0.104,0.171,0.276,0.317,0.331
12033,"Escambia, FL",2,0.097,0.168,0.296,0.327,0.357
12035,"Flagler, FL",2,0.105,0.191,0.283,0.327,0.329
12037,"Franklin, FL",6,0.064,0.078,0.165,0.195,0.265
12039,"Gadsden, FL",2,0.061,0.091,0.182,0.219,0.261
12041,"Gilchrist, FL",2,0.055,0.133,0.219,0.269,0.32
12043,"Glades, FL",6,0.06,0.093,0.168,0.232,0.216
12045,"Gulf, FL",3,0.064,0.093,0.204,0.253,0.295
12047,"Hamilton, FL",6,0.041,0.074,0.136,0.205,0.265
12049,"Hardee, FL",6,0.066,0.078,0.147,0.181,0.181
12051,"Hendry, FL",4,0.063,0.097,0.154,0.168,0.203
12053,"Hernando, FL",1,0.082,0.135,0.234,0.28,0.334
12055,"Highlands, FL",3,0.09,0.132,0.22,0.263,0.301
12057,"Hillsborough, FL",1,0.102,0.163,0.266,0.29,0.296
12059,"Holmes, FL",6,0.034,0.072,0.159,0.186,0.283
12061,"Indian River, FL",3,0.108,0.174,0.267,0.294,0.311
12063,"Jackson, FL",6,0.062,0.108,0.199,0.236,0.29
12065,"Jefferson, FL",2,0.072,0.103,0.181,0.24,0.312
12067,"Lafayette, FL",9,0.047,0.118,0.156,0.209,0.293
12069,"Lake, FL",1,0.108,0.142,0.226,0.289,0.322
12071,"Lee, FL",2,0.12,0.164,0.267,0.286,0.296
12073,"Leon, FL",2,0.141,0.192,0.262,0.285,0.283
12075,"Levy, FL",6,0.056,0.111,0.195,0.251,0.298
12077,"Liberty, FL",8,0.027,0.062,0.166,0.178,0.199
12079,"Madison, FL",6,0.051,0.093,0.175,0.231,0.308
12081,"Manatee, FL",2,0.125,0.161,0.255,0.288,0.291
12083,"Marion, FL",2,0.103,0.136,0.234,0.286,0.316
12085,"Martin, FL",2,0.114,0.18,0.274,0.307,0.315
12086,"Miami-Dade, FL",1,0.117,0.168,0.231,0.239,0.246
12087,"Monroe, FL",4,0.108,0.199,0.303,0.305,0.32
12089,"Nassau, FL",1,0.065,0.114,0.205,0.277,0.319
12091,"Okaloosa, FL",3,0.13,0.195,0.34,0.366,0.359
12093,"Okeechobee, FL",4,0.068,0.099,0.169,0.223,0.232
12095,"Orange, FL",1,0.128,0.183,0.284,0.299,0.302
12097,"Osceola, FL",1,0.077,0.145,0.26,0.294,0.321
12099,"Palm Beach, FL",1,0.131,0.181,0.266,0.29,0.287
12101,"Pasco, FL",1,0.089,0.121,0.219,0.277,0.323
12103,"Pinellas, FL",1,0.126,0.176,0.279,0.314,0.313
12105,"Polk, FL",2,0.103,0.14,0.222,0.261,0.284
12107,"Putnam, FL",4,0.071,0.126,0.205,0.236,0.265
12109,"St. Johns, FL",1,0.09,0.163,0.271,0.296,0.309
12111,"St. Lucie, FL",2,0.107,0.156,0.253,0.299,0.325
12113,"Santa Rosa, FL",2,0.11,0.162,0.31,0.334,0.355
12115,"Sarasota, FL",2,0.156,0.189,0.276,0.295,0.304
12117,"Seminole, FL",1,0.122,0.206,0.321,0.333,0.328
12119,"Sumter, FL",3,0.045,0.086,0.183,0.262,0.308
12121,"Suwannee, FL",6,0.051,0.106,0.179,0.239,0.251
12123,"Taylor, FL",6,0.05,0.1,0.16,0.202,0.268
12125,"Union, FL",6,0.06,0.183,0.238,0.261,0.288
12127,"Volusia, FL",2,0.132,0.169,0.283,0.321,0.334
12129,"Wakulla, FL",2,0.057,0.093,0.225,0.277,0.318
12131,"Walton, FL",3,0.058,0.108,0.236,0.274,0.315
12133,"Washington, FL",6,0.054,0.09,0.162,0.232,0.288